Datetime,valueBVP
53:19.4,-64.86154
53:19.4,-78.86121
53:19.4,-91.73668
53:19.4,-103.897
53:19.4,-115.8594
53:19.5,-128.0305
53:19.5,-140.2964
53:19.5,-151.8454
53:19.5,-161.2272
53:19.5,-166.7904
53:19.5,-167.3188
53:19.6,-162.403
53:19.6,-152.415
53:19.6,-138.0997
53:19.6,-119.976
53:19.6,-98.12299
53:19.6,-72.34909
53:19.6,-42.65536
53:19.7,-9.726685
53:19.7,25.07581
53:19.7,60.1488
53:19.7,94.26917
53:19.7,126.9869
53:19.7,158.4743
53:19.8,188.9736
53:19.8,218.1564
53:19.8,244.8328
53:19.8,267.0419
53:19.8,282.5883
53:19.8,289.7193
53:19.8,287.6729
53:19.9,276.9658
53:19.9,259.2364
53:19.9,236.7108
53:19.9,211.4833
53:19.9,184.9309
53:19.9,157.4895
53:20.0,128.8107
53:20.0,98.31464
53:20.0,65.68695
53:20.0,31.09424
53:20.0,-4.874695
53:20.0,-41.38745
53:20.1,-77.41718
53:20.1,-111.6275
53:20.1,-142.3983
53:20.1,-168.0597
53:20.1,-187.5278
53:20.1,-200.7983
53:20.1,-209.0513
53:20.2,-214.0617
53:20.2,-217.2972
53:20.2,-219.1608
53:20.2,-218.9171
53:20.2,-215.3785
53:20.2,-207.9747
53:20.3,-197.512
53:20.3,-186.1069
53:20.3,-176.3142
53:20.3,-170.0497
53:20.3,-167.8612
53:20.3,-169.0344
53:20.3,-172.2421
53:20.4,-176.3702
53:20.4,-180.795
53:20.4,-185.2571
53:20.4,-189.4911
53:20.4,-192.938
53:20.4,-194.8117
53:20.5,-194.5538
53:20.5,-192.2465
53:20.5,-188.6926
53:20.5,-185.0574
53:20.5,-182.2405
53:20.5,-180.4402
53:20.6,-179.1494
53:20.6,-177.5212
53:20.6,-174.858
53:20.6,-170.7948
53:20.6,-165.2203
53:20.6,-157.9131
53:20.6,-148.3747
53:20.7,-135.8552
53:20.7,-119.7693
53:20.7,-100.1022
53:20.7,-77.59467
53:20.7,-53.63715
53:20.7,-29.95532
53:20.8,-8.170044
53:20.8,10.48004
53:20.8,25.29712
53:20.8,36.14978
53:20.8,43.34833
53:20.8,47.49707
