Subject,Time,Valence,Arousal,Dominance,emo_similarity,emo_spheric,fear_metric,fear_spheric,emo_cubic,fear_cubic
6,125.0,4.474200000000001,4.0914,4.7282,0.9676716464835953,Sadness,0.48117732394628854,Low Fear,Admiration,Medium Fear
6,130.0,4.474600000000001,3.9829000000000008,5.689200000000002,0.9081277185398519,Sadness,0.32955922035636276,Low Fear,Admiration,Medium Fear
6,135.0,4.427,3.3703000000000003,5.682900000000001,0.9192401126948655,Sadness,0.3181665507125167,Low Fear,Admiration,Medium Fear
6,140.0,4.462800000000001,4.169400000000001,4.994699999999999,0.9888722108605703,Sadness,0.44622026442770557,Low Fear,Admiration,Medium Fear
6,145.0,3.8242000000000007,4.022000000000002,5.6221,0.9612088250033799,Sadness,0.45259695838457314,Low Fear,Admiration,Medium Fear
8,0.0,4.550999999999998,5.106300000000001,4.6429,0.9514258435185559,Hate,0.8585304332303103,High Fear,Admiration,Medium Fear
8,5.0,4.467,5.037800000000001,4.9128,0.8508417753896187,Hate,0.747567955887948,Medium Fear,Admiration,Medium Fear
8,10.0,4.5303,5.069300000000002,5.078400000000001,0.794178283365511,Sadness,0.6863710469435919,Medium Fear,Admiration,Medium Fear
8,15.0,4.5,4.776599999999999,5.157800000000002,0.9487659369013209,Sadness,0.5384013333467742,Medium Fear,Admiration,Medium Fear
8,20.0,3.9117000000000015,4.453399999999998,4.555800000000001,0.9458915643724145,Sadness,0.6446997039760086,Medium Fear,Admiration,Medium Fear
8,25.0,4.617400000000001,4.823200000000002,5.127300000000002,0.9492092822939098,Sadness,0.5328246727070342,Medium Fear,Admiration,Medium Fear
8,30.0,4.315900000000002,4.375199999999998,4.871,0.9947151968826794,Sadness,0.5370779882991431,Medium Fear,Admiration,Medium Fear
8,35.0,4.086499999999998,4.549,4.648800000000001,0.9476828070146313,Sadness,0.6435907028528065,Medium Fear,Admiration,Medium Fear
8,40.0,3.8691000000000004,4.351899999999998,4.841400000000002,0.9790125698503731,Sadness,0.591005396466127,Medium Fear,Admiration,Medium Fear
8,45.0,4.1541000000000015,4.4526,4.686800000000002,0.9668699448267547,Sadness,0.6086397723088259,Medium Fear,Admiration,Medium Fear
8,50.0,4.0356,4.570299999999999,4.506499999999999,0.9229205663009077,Sadness,0.6701186986722873,Medium Fear,Admiration,Medium Fear
8,55.0,3.457899999999999,3.869499999999998,4.9743,0.99412924082436,Sadness,0.5421493087152007,Medium Fear,Admiration,Medium Fear
8,60.0,4.684900000000002,4.014100000000001,4.995800000000002,0.9444018381244748,Sadness,0.3787293154491885,Low Fear,Admiration,Medium Fear
8,65.0,4.157400000000001,3.9879000000000002,4.3531,0.9469168791692153,Sadness,0.560153099195138,Medium Fear,Admiration,Medium Fear
8,70.0,4.031600000000001,5.480199999999997,5.1799,0.8342267342886962,Hate,0.7330434149654665,Medium Fear,Admiration,Medium Fear
8,75.0,3.8063000000000016,4.131999999999999,4.8551,0.9915122209426189,Sadness,0.5586482784656764,Medium Fear,Admiration,Medium Fear
8,80.0,3.995800000000001,4.453499999999999,5.0951,0.9778971114579706,Sadness,0.5584129568596915,Medium Fear,Admiration,Medium Fear
8,85.0,4.1001,4.181099999999998,4.843400000000001,0.9953596709844209,Sadness,0.5356685525573441,Medium Fear,Admiration,Medium Fear
8,90.0,3.9304,3.5564999999999984,4.4453000000000005,0.9725456257865086,Sadness,0.5176803245293675,Medium Fear,Admiration,Medium Fear
8,95.0,4.4129000000000005,4.677799999999999,4.998300000000001,0.9800427751892671,Sadness,0.5738188430700667,Medium Fear,Admiration,Medium Fear
8,100.0,4.100400000000002,4.098699999999997,5.028200000000002,0.9998772228744975,Sadness,0.49568587496404337,Low Fear,Admiration,Medium Fear
8,105.0,3.9694000000000007,4.307699999999998,4.950999999999999,0.9902495653182479,Sadness,0.5575985794461116,Medium Fear,Admiration,Medium Fear
8,110.0,4.554400000000002,4.3751,5.075700000000001,0.9907495387823471,Sadness,0.4388605409284919,Low Fear,Admiration,Medium Fear
8,115.0,3.9953000000000007,4.204300000000001,4.630800000000001,0.9772566632139589,Sadness,0.5805263339121899,Medium Fear,Admiration,Medium Fear
8,120.0,4.592300000000002,4.176500000000001,4.7228,0.9535278552605753,Sadness,0.4734308598982929,Low Fear,Admiration,Medium Fear
8,125.0,4.0687,4.447399999999998,5.01,0.984451351168265,Sadness,0.5629782096446567,Medium Fear,Admiration,Medium Fear
8,130.0,4.5886000000000005,3.7648,6.1891,0.8301701436677598,Sadness,0.2709342158043388,Low Fear,Admiration,Low Fear
8,135.0,3.802999999999999,4.719799999999999,4.876000000000002,0.922686009849564,Sadness,0.6616643655367351,Medium Fear,Admiration,Medium Fear
8,140.0,3.9087000000000014,3.974,4.833900000000001,0.9967176912229481,Sadness,0.5282550158726017,Medium Fear,Admiration,Medium Fear
8,145.0,4.095500000000002,3.8963,4.675700000000002,0.9851863394919669,Sadness,0.5157170085765741,Medium Fear,Admiration,Medium Fear
9,0.0,4.830299999999999,4.64,5.196299999999999,0.9220142115077589,Sadness,0.3322400894493587,Low Fear,Admiration,Medium Fear
9,5.0,3.9785000000000004,4.9045,7.6480000000000015,0.6390656339733383,Sadness,0.38614977972142944,Low Fear,Admiration,Low Fear
9,10.0,4.3673,4.9314,6.035300000000001,0.7040276298011066,Sadness,0.4281344476252218,Low Fear,Admiration,Low Fear
9,15.0,4.522299999999997,4.3685,4.937200000000001,0.9937113541778455,Sadness,0.4789303984742953,Low Fear,Admiration,Medium Fear
