Datetime,valueEDA
2024-05-02 12:31:46.871000,21.02079
2024-05-02 12:31:47.121000,21.05282
2024-05-02 12:31:47.371000,21.06947
2024-05-02 12:31:47.621000,21.07204
2024-05-02 12:31:47.871000,21.04641
2024-05-02 12:31:48.121000,21.0067
2024-05-02 12:31:48.371000,21.13866
2024-05-02 12:31:48.621000,21.16428
2024-05-02 12:31:48.871000,21.28087
2024-05-02 12:31:49.121000,21.5102
2024-05-02 12:31:49.371000,21.84782
2024-05-02 12:31:49.621000,22.02462
2024-05-02 12:31:49.871000,22.2469
2024-05-02 12:31:50.121000,22.27253
2024-05-02 12:31:50.371000,22.26356
2024-05-02 12:31:50.621000,22.21487
2024-05-02 12:31:50.871000,22.14441
2024-05-02 12:31:51.121000,22.04063
2024-05-02 12:31:51.371000,21.98939
2024-05-02 12:31:51.621000,21.97145
2024-05-02 12:31:51.871000,21.97401
2024-05-02 12:31:52.121000,21.97401
2024-05-02 12:31:52.371000,21.95608
2024-05-02 12:31:52.621000,21.92661
2024-05-02 12:31:52.871000,21.87664
2024-05-02 12:31:53.121000,21.8113
2024-05-02 12:31:53.371000,21.74212
2024-05-02 12:31:53.621000,21.67806
2024-05-02 12:31:53.871000,21.62169
2024-05-02 12:31:54.121000,21.58069
2024-05-02 12:31:54.371000,21.55635
2024-05-02 12:31:54.621000,21.52688
2024-05-02 12:31:54.871000,21.49614
2024-05-02 12:31:55.121000,21.48525
2024-05-02 12:31:55.371000,21.4545
2024-05-02 12:31:55.621000,21.46731
2024-05-02 12:31:55.871000,21.50062
2024-05-02 12:31:56.121000,21.60312
2024-05-02 12:31:56.371000,21.70561
2024-05-02 12:31:56.621000,21.77095
2024-05-02 12:31:56.871000,21.80298
2024-05-02 12:31:57.121000,21.81963
2024-05-02 12:31:57.371000,21.8081
2024-05-02 12:31:57.621000,21.77992
2024-05-02 12:31:57.871000,21.75045
2024-05-02 12:31:58.121000,21.68511
2024-05-02 12:31:58.371000,21.64539
2024-05-02 12:31:58.621000,21.59671
2024-05-02 12:31:58.871000,21.56724
2024-05-02 12:31:59.121000,21.52881
2024-05-02 12:31:59.371000,21.48909
2024-05-02 12:31:59.621000,21.45962
2024-05-02 12:31:59.871000,21.41606
2024-05-02 12:32:00.121000,21.38788
2024-05-02 12:32:00.371000,21.3456
2024-05-02 12:32:00.621000,21.12652
2024-05-02 12:32:00.871000,21.18161
2024-05-02 12:32:01.121000,21.13036
2024-05-02 12:32:01.371000,21.08168
2024-05-02 12:32:01.621000,21.10986
2024-05-02 12:32:01.871000,21.21364
2024-05-02 12:32:02.121000,21.12395
2024-05-02 12:32:02.371000,21.14445
2024-05-02 12:32:02.621000,21.14958
2024-05-02 12:32:02.871000,21.1278
2024-05-02 12:32:03.121000,21.11114
2024-05-02 12:32:03.371000,21.12267
2024-05-02 12:32:03.621000,21.08936
2024-05-02 12:32:03.871000,21.08808
2024-05-02 12:32:04.121000,21.10986
2024-05-02 12:32:04.371000,21.1137
2024-05-02 12:32:04.621000,21.08039
2024-05-02 12:32:04.871000,21.03171
2024-05-02 12:32:05.121000,20.99327
2024-05-02 12:32:05.371000,20.94648
2024-05-02 12:32:05.621000,20.94392
2024-05-02 12:32:05.871000,20.92982
2024-05-02 12:32:06.121000,20.91573
2024-05-02 12:32:06.371000,20.91317
2024-05-02 12:32:06.621000,20.90933
2024-05-02 12:32:06.871000,20.88883
2024-05-02 12:32:07.121000,20.87345
2024-05-02 12:32:07.371000,20.85295
2024-05-02 12:32:07.621000,20.8363
2024-05-02 12:32:07.871000,20.83246
2024-05-02 12:32:08.121000,20.82605
2024-05-02 12:32:08.371000,20.83502
2024-05-02 12:32:08.621000,20.81708
2024-05-02 12:32:08.871000,20.81068
2024-05-02 12:32:09.121000,20.89908
2024-05-02 12:32:09.371000,21.0951
2024-05-02 12:32:09.621000,21.35261
2024-05-02 12:32:09.871000,21.55632
2024-05-02 12:32:10.121000,21.93238
2024-05-02 12:32:10.371000,22.0259
