FP1_Theta,FP1_Alpha,FP1_Beta,FP2_Theta,FP2_Alpha,FP2_Beta,C3_Theta,C3_Alpha,C3_Beta,C4_Theta,C4_Alpha,C4_Beta,T5_Theta,T5_Alpha,T5_Beta,T6_Theta,T6_Alpha,T6_Beta,O1_Theta,O1_Alpha,O1_Beta,O2_Theta,O2_Alpha,O2_Beta,Subject,Scene
0.006336281785868649,0.0006518618164144847,0.025952584912199293,-0.00022473193736606773,-0.0009917946302738466,0.0011619696543294206,-0.0007117770181215933,-0.0026165071677803123,-0.0018481584546990088,0.0005377755634509017,-0.0007846962972534155,0.005671553667129381,-0.0032818334366798013,-0.0008924679954787968,-0.0017041606343312459,-0.001084680942750569,-0.004133466420525789,-0.0016878031828387085,-0.0018169090539962075,-0.0006723365866667717,-0.0018640844302924354,-0.0004971612925143905,-0.0013219107249762773,5.451470905776365e-05,1,1
0.0053448328891015605,0.0072688133549805075,0.025726447207314696,-0.0003354282568725173,-0.0003828769491435531,0.0011460501901801503,-0.0007287863970283238,-0.0024674768788750068,-0.0018517592865688842,8.46809946847501e-05,0.0023229981533525856,0.005567034785374637,-0.003286268265809032,-0.0008741804485681094,-0.0017048756243785675,-0.0012252407827715828,-0.0028541189244059685,-0.001733147686615825,-0.0018196513052243163,-0.0006501000546012324,-0.001864559207381918,-0.0005102134222184597,-0.0011608088767339202,5.065703371184133e-05,1,1
0.038011111338402105,0.030903522574036904,0.05698003334835064,0.0033117963334251613,0.0017920811487014392,0.003346215546509804,-0.00016836103427997405,-0.0019351641480685302,-0.001354102741093637,0.01501325007720251,0.013423193500660999,0.020012170662209748,-0.0031401494253090224,-0.0008088602099288113,-0.0016060597146567595,0.00340592768983157,0.0017155089298585557,0.004533734501039326,-0.0017292995558930977,-0.0005706746626596295,-0.0017989421681103147,-8.017158682029762e-05,-0.0005853784363461584,0.0005838108869504257,1,1
0.00421422785220881,6.305644706468142e-05,-0.002018521473383222,-0.0004616615068241633,-0.0010459787962074055,-0.0008071182759340141,-0.0007481831501329093,-0.002629768536522603,-0.002293547477070738,-0.0004320082701954717,-0.001061232579581164,-0.0072564485960941,-0.0032913255513308936,-0.0008940953016106953,-0.0017925981758966615,-0.0013855290877266735,-0.004247308371852126,-0.007296491657361869,-0.00182277844880281,-0.0006743152908176833,-0.0019228098891210356,-0.0005250975010991035,-0.0013362462740134288,-0.0004226434346997021,1,1
0.01501347106145897,0.0012429334597725368,0.006330313573465132,0.0007440854364810256,-0.0009374019129692341,-0.00021938355797616362,-0.0005629104444481558,-0.0026031947568823303,-0.0021606074557430845,0.004503272268065775,-0.0005070956445558412,-0.003397689600544632,-0.00324301968451894,-0.0008908344259502171,-0.0017662012777439832,0.00014550282202310024,-0.004019186298848732,-0.005622406468974376,-0.001792908792333563,-0.0006703502666107801,-0.0019052814738323496,-0.00038292867774123297,-0.0013075199993326592,-0.0002802209441992037,1,1
0.03546525830573583,0.020968673100930042,0.0795985662726147,0.0030275491456579337,0.0008778375626206981,0.0049384972234452346,-0.00021203789852858497,-0.0021589217921404776,-0.0009939437210055573,0.013849789019612858,0.008757226643380939,0.030466259992978195,-0.0031515372267628826,-0.0008363175707287358,-0.0015345456523218463,0.00304499663614322,-0.00020533403289857335,0.0090691398287377,-0.0017363411377922678,-0.0006040611243236728,-0.0017514544604131225,-0.00011368698443505934,-0.0008272606086423817,0.0009696596637515633,1,1
0.013660025458969114,0.01283714867592269,0.0048672628005599905,0.0005929718013385694,0.00012954297891874648,-0.00032237825466719544,-0.0005861302686443794,-0.0023420640483948364,-0.0021839038797187007,0.0038847443201207392,0.004938203157523611,-0.004073898951814619,-0.003249073753470306,-0.0008587910063449565,-0.001770827073082852,-4.6378068644018985e-05,-0.0017775150217021413,-0.005915773341720245,-0.0017966522912448329,-0.0006313874395557318,-0.0019083531552576184,-0.000400746386358089,-0.001025237517837159,-0.00030517907711670185,1,1
0.003059181313336961,0.0014493954524624304,-0.0010072268023098878,-0.0005906236763605474,-0.0009184024753730257,-0.0007359259497063277,-0.0007679992236578437,-0.002598544716718057,-0.0022774444477993545,-0.0009598673612087492,-0.00041012942299341803,-0.006789036988696123,-0.0032964921656192334,-0.0008902638182686094,-0.0017894007187322914,-0.0015492825169245174,-0.00397926812325756,-0.007093709661977433,-0.001825973195198784,-0.0006696564427714733,-0.0019206866715853607,-0.0005403033450802923,-0.0013024933026097541,-0.00040539179361735104,1,1
0.01244371277659177,0.009463507740802147,0.005858819989162274,0.00045716920198398325,-0.000180912614296229,-0.0002525753921942882,-0.0006069974291718392,-0.0024180468752742225,-0.0021681151339761943,0.003328886451798905,0.003353750687031266,-0.003615609837267805,-0.003254514416051758,-0.0008681148795063784,-0.001767692020830255,-0.00021881733062503435,-0.002429788059824182,-0.005716949051438092,-0.001800016493835485,-0.0006427246957521108,-0.001906271376651747,-0.0004167587808878239,-0.001107375007704816,-0.0002882641370703709,1,1
0.023919759603831286,0.005461721722997203,-0.00042578321543618354,0.0017384819861346566,-0.0005491725672576236,-0.0006949939417529979,-0.00041011342489036793,-0.002508177099576808,-0.0022681860156461573,0.00857346789748063,0.0014742857812404127,-0.006520298816403853,-0.0032031811532644942,-0.0008791747836178954,-0.0017875623416344008,0.0014081664820215496,-0.0032035091445342815,-0.006977120210729511,-0.0017682748643793906,-0.000656172858789958,-0.0019194659282600539,-0.0002656800392931402,-0.0012048058442436318,-0.0003954729674261996,1,1
