,FP1_Theta,FP1_Alpha,FP1_Beta,FP2_Theta,FP2_Alpha,FP2_Beta,C3_Theta,C3_Alpha,C3_Beta,C4_Theta,C4_Alpha,C4_Beta,P7_Theta,P7_Alpha,P7_Beta,P8_Theta,P8_Alpha,P8_Beta,O1_Theta,O1_Alpha,O1_Beta,O2_Theta,O2_Alpha,O2_Beta,Subject,Scene,Second
49,147.77253241581917,23.718716563979214,46.39921981724628,201.81232469805985,38.942877269707246,111.32473436615547,35.5954268077817,17.472367593878882,110.79086077593595,54.73121809233091,8.481628436969697,32.8886378337859,169.50528583509512,34.997436580436315,97.7139399209372,146.28565318017493,26.975484922961055,91.49533063923673,294.65900934267637,19.85746339218318,22.530986547189695,529.6243727553929,35.45800947422104,28.05241850273124,001,000,100
50,82.3957302615797,19.5626064073206,125.08788186008383,110.00130350419141,37.59053505770608,225.49816470490947,22.51098495407198,13.087997947000336,66.91388363081978,27.670360002226225,4.848551570306686,17.944020065652005,145.74295933246833,52.93098071634116,330.91404765963614,113.3591910714988,43.83633650949001,221.58389981902727,140.89700779380019,24.795179947698383,118.14644024372424,233.47921068250085,22.221833707232655,71.1814303749668,001,000,102
51,211.204859217956,23.10617739889299,77.1922290530656,230.9758981740322,23.679863468584088,123.66758547204968,121.00690316839086,39.19105434865669,132.33317211653977,111.86747491602412,23.091226049928636,86.73131703987444,197.23770111490842,26.069820507825334,113.70027277397003,208.9448320933858,18.68124019910973,116.51762165242756,441.3476051942727,54.238177375008725,156.53581641793556,1043.5685912347933,115.85501798108717,240.28030236097766,001,000,104
52,268.71531292969144,73.93981711835971,158.52772524200205,274.2353615309605,82.06738758069305,209.0860105434389,200.19671394862468,30.786125882782436,37.86511693553181,211.09951924695525,47.08614722837674,63.46591251530729,583.1993267084786,176.30987615942442,394.3500479247186,272.0152869418396,85.7816342521689,210.15591663927765,869.4560850065194,194.9771595094441,271.6544011675959,653.494728772175,117.50984817743488,152.61550939605704,001,000,106
53,43.109999513468715,17.118111131906254,92.04938611970537,35.00900090468163,20.29126728064211,141.80534198454123,22.2782019716524,18.860664141179967,51.76679934849317,23.916572617652648,4.878371150832914,12.034865741671826,94.03348286893757,31.120080589540333,166.29991229672189,46.640574051866786,22.158499550271777,129.53627811288578,78.85153947487059,15.492876525251672,84.11306614779305,99.92040941792169,43.87869682410065,89.76358140738566,001,000,108
54,46.50321452085431,30.81922647923138,103.09107438609392,49.92075947325178,38.17055414571341,138.26646706709502,10.335519567852284,5.8451806446500445,18.385049689480955,30.572390267215777,15.914824175373111,42.07862735340539,103.99426314006482,78.4967852059898,325.76705423317685,42.12185713939217,32.099689202626294,165.79795534492962,94.10305370113659,46.56154575414836,167.18256199237487,77.08875943370458,34.12906063400014,78.13489843464676,001,000,110
55,37.075388411287726,13.198622795033724,71.5311875734353,59.76138670590852,28.639390508638286,166.27714346532298,39.5322055196885,28.98745960256959,133.97396136296337,29.84482635256684,10.415090777580792,19.375986637189175,68.67388820089514,25.291308648781786,121.75408712354847,42.682231807709954,27.26085248848988,139.09896127395191,113.78781999415916,16.58022049977924,58.12674910647611,82.4037739985734,12.289726052859814,32.58779455977839,001,000,112
56,24.931726492940342,15.838664631480757,107.16788677640646,25.826292948019706,17.70211690250883,126.77237432872509,5.343532072589893,2.3202373898831037,11.303596954314093,15.861068500270795,10.525868619775238,61.854101300985285,84.50722530881185,51.95183686073723,319.527375576151,37.70859311227776,26.537225068933285,139.87238194807145,52.73014367100707,36.44051447721196,190.25443379797562,33.29286992321877,22.21039103136898,104.65804378843548,001,000,114
57,19.168921783036026,15.9296346691448,104.25981407874431,39.148670180171735,37.68414758350248,221.9708097353799,30.767741539444003,21.461787428195624,114.8613565543735,8.92396642145444,5.261641581326313,10.543418295578793,61.74229304496842,60.39834110198284,190.60181973157142,32.18234969841559,36.128834093585226,203.38124137641358,29.237553145061977,8.299862727242534,80.63662759955956,36.94469229692788,4.385623805326935,43.46141707721965,001,000,116
58,4.0540917329210115,1.2982895504676344,6.580204017193014,15.188750096162403,3.516882522870711,9.323918817719111,1.1132547897491358,0.3008774098797476,0.4857187353855708,1.961648576187312,0.4556817154074656,1.1900621690973263,10.6674112276946,2.3218778943811946,10.193915471223384,0.31166655313415736,0.09567050081867787,0.14132272144263147,3.0282096666886176,0.6591121163333868,2.7806860491351273,0.5784292758910997,0.13235971813266323,0.7269859551829257,002,000,2
59,4.489139821549922,1.8617193449759464,5.256973413352166,4.376106278665183,2.1755055829640453,5.997175523699863,0.13447498363407498,0.08916723454434483,0.3521222641114959,0.5525484481322901,0.2761673189433699,0.7659147806218506,6.232493793219981,2.734332286240119,6.778632721791885,0.037301292154605224,0.02511332936975497,0.11952937859747438,1.6731976899978662,0.7394154167477561,1.837852752407223,0.4831540629154263,0.20404669846410478,0.5102009451760364,002,000,4
60,1.508470729817327,0.9299824400923008,2.7226815121859103,1.589581923178748,0.6724431434451349,2.022927147022229,0.08595332618033093,0.06321946349973728,0.20763571600357866,0.20253044413116997,0.08650618483824968,0.26111819022724864,1.9133350582731703,0.7521655544546961,2.0888195646716716,0.02943667517637422,0.02778030029678671,0.09086722843549817,0.516758800468333,0.20101411553275453,0.5596827196698367,0.14672202727934625,0.06539649307001952,0.18208394178778659,002,000,6
61,1.8889273133445323,1.569596659239297,3.3362784221182724,0.6934915766855322,2.964135274020972,2.6753699702079943,0.08831351289919749,0.12778614447909015,0.14739891727042112,0.08905431822710551,0.37780614923776984,0.339968269063821,1.0771481189269994,3.1770746320275953,3.6111594374479195,0.048672949798715046,0.027386812804053577,0.05883217156689696,0.2783426108881028,0.8718571776631192,0.9654325805737021,0.1134239860970685,0.21301386211481205,0.29605538868170567,002,000,8
62,4.563390484643594,1.7524508064981779,4.408008978297609,8.889733807978038,1.9808013050955946,7.8534181074547345,0.8016682517300627,0.19455007606809008,0.5004015296515837,1.1520367703190928,0.25646326238372946,1.0079300538943317,6.21277604785882,1.6411234790691278,7.292876514476122,0.2737047087736904,0.07573719290232199,0.1497252252020156,1.7451120534283842,0.44985575596518623,2.0123432181303786,0.3926977761397797,0.12521733484412534,0.48855388206162115,002,000,10
63,1.3068005761139736,0.7250715719266958,2.2266688627804863,0.8390381370397489,0.8679561255642453,2.874293707917521,0.12968848112308226,0.07175311930327953,0.19386433308450576,0.11002883839810379,0.11182779113190724,0.3685866254212353,0.6206177564266775,0.8015242855841472,2.903051787506675,0.05957364683172986,0.026530237201096114,0.06591835760670868,0.16602787131465147,0.2191421928320887,0.7925737773755783,0.062122437243290855,0.05979178529791111,0.2117025728782245,002,000,12
